,irrigation_scheduling_method_standardized,plant_yield_kg_per_hectare,latitude_decimal_degrees,longitude_decimal_degrees,altitude_numeric,plant_type_standardized_to_10,soil_type_standardized,water_productivity_kg_per_m^3,doi_url,processed_at,relevance_score
0,Soil Moisture-Based,60572.74244999999,40.178611,116.44425,37.0,Vines,coarse sands,17.37,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0
1,Soil Moisture-Based,53505.77129999999,40.178611,116.44416666666667,36.0,Vines,coarse sands,20.52,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0
2,Evapotranspiration-Based,58549.7199,40.178611,116.44425,37.0,Vines,coarse sands,25.07,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0
3,Evapotranspiration-Based,5085.0,8.4,39.35,1550.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
4,Deficit/Partial Irrigation,4830.0,8.4,39.35,1550.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
5,Deficit/Partial Irrigation,4555.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.39,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
6,Deficit/Partial Irrigation,3475.0,8.4,39.35,1550.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
7,Deficit/Partial Irrigation,2510.0,8.4,39.35,1550.0,Wheat,sandy clay loams,8.594532012939453,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
8,Evapotranspiration-Based,5160.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.26,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
9,Deficit/Partial Irrigation,4940.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.33,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
10,Deficit/Partial Irrigation,4710.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.44,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
11,Deficit/Partial Irrigation,3590.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.26,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
12,Deficit/Partial Irrigation,2670.0,8.4,39.35,1550.0,Wheat,sandy clay loams,1.09,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0
13,Conventional/Fixed Scheduling,12981.81735,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.97,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
14,Conventional/Fixed Scheduling,10840.860749999998,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.65,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
15,Conventional/Fixed Scheduling,12782.23665,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.94,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
16,Conventional/Fixed Scheduling,12981.81735,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.97,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
17,Conventional/Fixed Scheduling,10840.860749999998,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.65,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
18,Conventional/Fixed Scheduling,12782.23665,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.94,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
19,Conventional/Fixed Scheduling,12637.087049999998,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.92,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
20,Conventional/Fixed Scheduling,12637.087049999998,33.333333333333336,36.43333333333333,600.0,Maize,clay,1.92,https://doi.org/10.1016/j.agwat.2006.03.019,2025-09-12 04:03:56,8.0
21,Deficit/Partial Irrigation,24060.0,-23.416666666666668,-51.95,542.0,Vegetables,clay,10.39993381500244,https://doi.org/10.1093/jxb/erv034,2025-09-12 04:06:41,9.0
22,Deficit/Partial Irrigation,25400.0,-23.416666666666668,-51.95,542.0,Vegetables,clay,10.39993381500244,https://doi.org/10.1093/jxb/erv034,2025-09-12 04:06:41,9.0
23,Deficit/Partial Irrigation,27010.0,-23.416666666666668,-51.95,542.0,Vegetables,clay,10.550725936889648,https://doi.org/10.1093/jxb/erv034,2025-09-12 04:06:41,9.0
24,Evapotranspiration-Based,30600.0,-23.416666666666668,-51.95,542.0,Vegetables,clay,10.59600067138672,https://doi.org/10.1093/jxb/erv034,2025-09-12 04:06:41,9.0
55,Deficit/Partial Irrigation,17.423224,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.432,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
56,Deficit/Partial Irrigation,23.688392,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.669,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
57,Deficit/Partial Irrigation,23.37608,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.6719999999999999,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
58,Deficit/Partial Irrigation,21.161504,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.583,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
59,Deficit/Partial Irrigation,17.082520000000002,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.475,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
60,Deficit/Partial Irrigation,18.577832,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.441,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
61,Deficit/Partial Irrigation,24.672648,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.5780000000000001,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
62,Deficit/Partial Irrigation,24.32248,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.5740000000000001,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
63,Deficit/Partial Irrigation,21.076328,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.521,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
64,Deficit/Partial Irrigation,17.60304,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.418,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
65,Deficit/Partial Irrigation,15.52096,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.394,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
66,Deficit/Partial Irrigation,22.202544,8.4,39.35,1563.0,Legumes_Grains,sandy clay loams,0.5730000000000001,https://doi.org/10.3390/su151310503,2025-09-12 04:23:00,9.0
